"id","Kunta","Kuukausi","maakunta_id","Maakunta","Kuntien välinen nettomuutto","muutos"
"016","Asikkala",2024-07-01,"07","Päijät-Häme","-2",-69
"288","Kruunupyy",2024-07-01,"15","Pohjanmaa","-10",-69
"783","Säkylä",2024-07-01,"04","Satakunta","0",-69
"434","Loviisa",2024-07-01,"01","Uusimaa","15",-73
"232","Kauhajoki",2024-07-01,"14","Etelä-Pohjanmaa","-6",-74
"276","Kontiolahti",2024-07-01,"12","Pohjois-Karjala","-1",-74
"208","Kalajoki",2024-07-01,"17","Pohjois-Pohjanmaa","-5",-75
"535","Nivala",2024-07-01,"17","Pohjois-Pohjanmaa","-10",-75
"694","Riihimäki",2024-07-01,"05","Kanta-Häme","-11",-75
"005","Alajärvi",2024-07-01,"14","Etelä-Pohjanmaa","-7",-76
"859","Tyrnävä",2024-07-01,"17","Pohjois-Pohjanmaa","-4",-76
"593","Pieksämäki",2024-07-01,"10","Etelä-Savo","-19",-82
"010","Alavus",2024-07-01,"14","Etelä-Pohjanmaa","-3",-84
"848","Tohmajärvi",2024-07-01,"12","Pohjois-Karjala","-11",-85
"069","Haapajärvi",2024-07-01,"17","Pohjois-Pohjanmaa","-2",-87
"684","Rauma",2024-07-01,"04","Satakunta","32",-88
"560","Orimattila",2024-07-01,"07","Päijät-Häme","-5",-89
"761","Somero",2024-07-01,"02","Varsinais-Suomi","-2",-90
"931","Viitasaari",2024-07-01,"13","Keski-Suomi","8",-90
"636","Pöytyä",2024-07-01,"02","Varsinais-Suomi","6",-91
"790","Sastamala",2024-07-01,"06","Pirkanmaa","-5",-91
"400","Laitila",2024-07-01,"02","Varsinais-Suomi","-4",-93
"301","Kurikka",2024-07-01,"14","Etelä-Pohjanmaa","-2",-94
"748","Siikajoki",2024-07-01,"17","Pohjois-Pohjanmaa","3",-98
"491","Mikkeli",2024-07-01,"10","Etelä-Savo","-22",-99
"638","Porvoo",2024-07-01,"01","Uusimaa","-5",-99
"765","Sotkamo",2024-07-01,"18","Kainuu","-21",-101
"908","Valkeakoski",2024-07-01,"06","Pirkanmaa","-29",-101
"615","Pudasjärvi",2024-07-01,"17","Pohjois-Pohjanmaa","-18",-102
"541","Nurmes",2024-07-01,"12","Pohjois-Karjala","-15",-105
"980","Ylöjärvi",2024-07-01,"06","Pirkanmaa","-27",-105
"240","Kemi",2024-07-01,"19","Lappi","-18",-106
"071","Haapavesi",2024-07-01,"17","Pohjois-Pohjanmaa","-17",-107
"224","Karkkila",2024-07-01,"01","Uusimaa","-17",-112
"260","Kitee",2024-07-01,"12","Pohjois-Karjala","-9",-115
"102","Huittinen",2024-07-01,"04","Satakunta","9",-118
"946","Vöyri",2024-07-01,"15","Pohjanmaa","-8",-123
"214","Kankaanpää",2024-07-01,"04","Satakunta","-9",-124
