"id","Kunta","maakunta_id","Maakunta","Väestö 31.12.","Ennakkotieto","muutos"
"065","Geta","21","Ahvenanmaa","509","512",0.59
"755","Siuntio","01","Uusimaa","6158","6194",0.58
"418","Lempäälä","06","Pirkanmaa","24711","24846",0.55
"244","Kempele","17","Pohjois-Pohjanmaa","19514","19619",0.54
"245","Kerava","01","Uusimaa","38211","38417",0.54
"543","Nurmijärvi","01","Uusimaa","44785","45029",0.54
"694","Riihimäki","05","Kanta-Häme","28483","28637",0.54
"584","Perho","16","Keski-Pohjanmaa","2578","2591",0.5
"761","Somero","02","Varsinais-Suomi","8410","8450",0.48
"035","Brändö","21","Ahvenanmaa","436","438",0.46
"108","Hämeenkyrö","06","Pirkanmaa","10319","10366",0.46
"318","Kökar","21","Ahvenanmaa","225","226",0.44
"529","Naantali","02","Varsinais-Suomi","19999","20086",0.44
"598","Pietarsaari","15","Pohjanmaa","19475","19556",0.42
"139","Ii","17","Pohjois-Pohjanmaa","9766","9806",0.41
"508","Mänttä-Vilppula","06","Pirkanmaa","9271","9309",0.41
"686","Rautalampi","11","Pohjois-Savo","2933","2945",0.41
"417","Lemland","21","Ahvenanmaa","2127","2135",0.38
"918","Vehmaa","02","Varsinais-Suomi","2245","2253",0.36
"977","Ylivieska","17","Pohjois-Pohjanmaa","15369","15424",0.36
"149","Inkoo","01","Uusimaa","5379","5398",0.35
"684","Rauma","04","Satakunta","38832","38966",0.35
"240","Kemi","19","Lappi","19371","19436",0.34
"583","Pelkosenniemi","19","Lappi","912","915",0.33
"771","Sund","21","Ahvenanmaa","995","998",0.3
"562","Orivesi","06","Pirkanmaa","8839","8865",0.29
"609","Pori","04","Satakunta","83106","83335",0.28
"438","Lumparland","21","Ahvenanmaa","366","367",0.27
"106","Hyvinkää","01","Uusimaa","46901","47023",0.26
"272","Kokkola","16","Keski-Pohjanmaa","48295","48409",0.24
"217","Kannus","16","Keski-Pohjanmaa","5246","5257",0.21
"062","Föglö","21","Ahvenanmaa","509","510",0.2
"444","Lohja","01","Uusimaa","45645","45735",0.2
"630","Pyhäntä","17","Pohjois-Pohjanmaa","1646","1649",0.18
"500","Muurame","13","Keski-Suomi","10551","10569",0.17
"729","Saarijärvi","13","Keski-Suomi","8847","8862",0.17
"109","Hämeenlinna","05","Kanta-Häme","68319","68429",0.16
"507","Mäntyharju","10","Etelä-Savo","5522","5531",0.16
"608","Pomarkku","04","Satakunta","1943","1946",0.15
"061","Forssa","05","Kanta-Häme","16469","16487",0.11
"791","Siikalatva","17","Pohjois-Pohjanmaa","4931","4935",0.08
"768","Sulkava","10","Etelä-Savo","2368","2370",0.08
"408","Lapua","14","Etelä-Pohjanmaa","14024","14034",0.07
"758","Sodankylä","19","Lappi","8126","8132",0.07
"491","Mikkeli","10","Etelä-Savo","51919","51944",0.05
"205","Kajaani","18","Kainuu","36513","36514",0
"599","Pedersören kunta","15","Pohjanmaa","11225","11225",0
"423","Lieto","02","Varsinais-Suomi","20637","20634",-0.01
"980","Ylöjärvi","06","Pirkanmaa","33677","33672",-0.01
"082","Hattula","05","Kanta-Häme","9371","9369",-0.02
"790","Sastamala","06","Pirkanmaa","23515","23509",-0.03
"560","Orimattila","07","Päijät-Häme","15669","15662",-0.04
"611","Pornainen","01","Uusimaa","4973","4971",-0.04
"845","Tervola","19","Lappi","2831","2830",-0.04
"857","Tuusniemi","11","Pohjois-Savo","2313","2312",-0.04
"577","Paimio","02","Varsinais-Suomi","11236","11230",-0.05
"631","Pyhäranta","02","Varsinais-Suomi","1930","1929",-0.05
"078","Hanko","01","Uusimaa","7721","7715",-0.08
"097","Hirvensalmi","10","Etelä-Savo","2062","2060",-0.1
"020","Akaa","06","Pirkanmaa","16405","16385",-0.12
"749","Siilinjärvi","11","Pohjois-Savo","21290","21264",-0.12
"499","Mustasaari","15","Pohjanmaa","19763","19736",-0.14
"927","Vihti","01","Uusimaa","28811","28771",-0.14
"098","Hollola","07","Päijät-Häme","22885","22848",-0.16
"407","Lapinjärvi","01","Uusimaa","2449","2445",-0.16
"047","Enontekiö","19","Lappi","1771","1768",-0.17
"019","Aura","02","Varsinais-Suomi","3961","3954",-0.18
"890","Utsjoki","19","Lappi","1139","1137",-0.18
"915","Varkaus","11","Pohjois-Savo","19727","19691",-0.18
"505","Mäntsälä","01","Uusimaa","20957","20911",-0.22
"503","Mynämäki","02","Varsinais-Suomi","7515","7497",-0.24
"851","Tornio","19","Lappi","21018","20963",-0.26
"005","Alajärvi","14","Etelä-Pohjanmaa","9113","9088",-0.27
"426","Liperi","12","Pohjois-Karjala","11969","11934",-0.29
"076","Hammarland","21","Ahvenanmaa","1646","1641",-0.3
"738","Sauvo","02","Varsinais-Suomi","2974","2965",-0.3
"416","Lemi","09","Etelä-Karjala","2862","2853",-0.31
"834","Tammela","05","Kanta-Häme","5844","5826",-0.31
"182","Jämsä","13","Keski-Suomi","19182","19121",-0.32
"261","Kittilä","19","Lappi","6822","6799",-0.34
"399","Laihia","15","Pohjanmaa","7682","7656",-0.34
"625","Pyhäjoki","17","Pohjois-Pohjanmaa","2980","2970",-0.34
"704","Rusko","02","Varsinais-Suomi","6436","6414",-0.34
"687","Rautavaara","11","Pohjois-Savo","1424","1419",-0.35
"403","Lappajärvi","14","Etelä-Pohjanmaa","2789","2779",-0.36
"288","Kruunupyy","15","Pohjanmaa","6368","6344",-0.38
"481","Masku","02","Varsinais-Suomi","9619","9582",-0.38
"483","Merijärvi","17","Pohjois-Pohjanmaa","1055","1051",-0.38
"734","Salo","02","Varsinais-Suomi","51100","50894",-0.4
"924","Veteli","16","Keski-Pohjanmaa","2936","2924",-0.41
"142","Iitti","07","Päijät-Häme","6444","6417",-0.42
"285","Kotka","08","Kymenlaakso","50500","50287",-0.42
"249","Keuruu","13","Keski-Suomi","9184","9143",-0.45
"276","Kontiolahti","12","Pohjois-Karjala","15136","15066",-0.46
"531","Nakkila","04","Satakunta","4966","4943",-0.46
"236","Kaustinen","16","Keski-Pohjanmaa","4137","4117",-0.48
"433","Loppi","05","Kanta-Häme","7692","7655",-0.48
"710","Raasepori","01","Uusimaa","27209","27077",-0.49
"165","Janakkala","05","Kanta-Häme","16123","16043",-0.5
"736","Saltvik","21","Ahvenanmaa","1791","1782",-0.5
"981","Ypäjä","05","Kanta-Häme","2207","2196",-0.5
"232","Kauhajoki","14","Etelä-Pohjanmaa","12618","12553",-0.52
"286","Kouvola","08","Kymenlaakso","78880","78467",-0.52
"480","Marttila","02","Varsinais-Suomi","1930","1920",-0.52
"831","Taipalsaari","09","Etelä-Karjala","4625","4601",-0.52
"430","Loimaa","02","Varsinais-Suomi","15420","15339",-0.53
"538","Nousiainen","02","Varsinais-Suomi","4695","4670",-0.53
"235","Kauniainen","01","Uusimaa","10270","10213",-0.56
"425","Liminka","17","Pohjois-Pohjanmaa","10256","10199",-0.56
"581","Parkano","06","Pirkanmaa","6123","6088",-0.57
"623","Puumala","10","Etelä-Savo","2108","2096",-0.57
"700","Ruokolahti","09","Etelä-Karjala","4758","4731",-0.57
"785","Vaala","17","Pohjois-Pohjanmaa","2589","2574",-0.58
"620","Puolanka","18","Kainuu","2359","2345",-0.59
"895","Uusikaupunki","02","Varsinais-Suomi","14938","14850",-0.59
"563","Oulainen","17","Pohjois-Pohjanmaa","6978","6936",-0.6
"697","Ristijärvi","18","Kainuu","1164","1157",-0.6
"171","Joroinen","11","Pohjois-Savo","4590","4562",-0.61
"859","Tyrnävä","17","Pohjois-Pohjanmaa","6525","6485",-0.61
"434","Loviisa","01","Uusimaa","14458","14368",-0.62
"545","Närpiö","15","Pohjanmaa","9621","9560",-0.63
"850","Toivakka","13","Keski-Suomi","2368","2353",-0.63
"153","Imatra","09","Etelä-Karjala","24919","24753",-0.67
"683","Ranua","19","Lappi","3599","3575",-0.67
"077","Hankasalmi","13","Keski-Suomi","4549","4518",-0.68
"441","Luumäki","09","Etelä-Karjala","4396","4366",-0.68
